Terminal voltage [V],Current [A],X-averaged positive particle surface concentration [mol.m-3],X-averaged negative particle surface concentration [mol.m-3],Time [s],X-averaged negative electrode reaction overpotential [V],X-averaged positive electrode reaction overpotential [V],X-averaged electrolyte ohmic losses [V],X-averaged electrolyte overpotential [V],X-averaged negative electrode ohmic losses [V],X-averaged positive electrode ohmic losses [V],X-averaged negative electrolyte concentration [mol.m-3],X-averaged positive electrolyte concentration [mol.m-3],X-averaged battery open circuit voltage [V]
3.509218037727822,0.0,28595.0,2392.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0000000000005,1000.0000000000007,3.509218037727822
3.509218037727823,0.0,28595.000000000007,2392.8,1.0,0.0,0.0,0.0,-4.946192708514425e-16,0.0,0.0,1000.0000000000127,999.9999999999973,3.5092180377278233
3.509218037727822,0.0,28595.000000000007,2392.8,2.0,0.0,0.0,0.0,-9.37314836782271e-16,0.0,0.0,1000.0000000000277,999.999999999998,3.509218037727823
3.509218037727823,0.0,28595.000000000022,2392.8,3.0,0.0,0.0,0.0,-1.3810007731066855e-15,0.0,0.0,1000.0000000000421,999.9999999999989,3.509218037727824
3.509218037727822,0.0,28595.000000000025,2392.8,4.0,0.0,0.0,0.0,-1.7498430039733154e-15,0.0,0.0,1000.0000000000558,1000.0000000000007,3.5092180377278237
3.5092180377278215,0.0,28595.00000000003,2392.8,5.000000000000001,0.0,0.0,0.0,-1.8542563397537426e-15,0.0,0.0,1000.0000000000645,1000.000000000007,3.5092180377278233
3.509218037727821,0.0,28595.000000000036,2392.8,6.0,0.0,0.0,0.0,-1.9607918978061282e-15,0.0,0.0,1000.0000000000742,1000.0000000000128,3.509218037727823
3.50921803772782,0.0,28595.000000000047,2392.8,7.0,0.0,0.0,0.0,-2.06548819655615e-15,0.0,0.0,1000.000000000084,1000.0000000000186,3.5092180377278224
3.5092180377278206,0.0,28595.000000000044,2392.8,8.0,0.0,0.0,0.0,-2.171033384214953e-15,0.0,0.0,1000.0000000000927,1000.0000000000248,3.509218037727823
3.509218037727821,0.0,28595.000000000055,2392.7999999999997,9.0,0.0,0.0,0.0,-2.2758711644497737e-15,0.0,0.0,1000.0000000001024,1000.0000000000312,3.5092180377278233
3.5092180377278197,0.0,28595.00000000006,2392.8,10.000000000000002,0.0,0.0,0.0,-2.3811333891389834e-15,0.0,0.0,1000.0000000001118,1000.0000000000373,3.509218037727822
3.5092180377278197,0.0,28595.000000000073,2392.8,11.0,0.0,0.0,0.0,-2.486820058282586e-15,0.0,0.0,1000.0000000001207,1000.000000000043,3.5092180377278224
3.50921803772782,0.0,28595.000000000065,2392.7999999999993,12.0,0.0,0.0,0.0,-2.5915163570326053e-15,0.0,0.0,1000.0000000001304,1000.000000000049,3.509218037727823
3.5092180377278197,0.0,28595.000000000073,2392.7999999999993,13.0,0.0,0.0,0.0,-2.6971322854338113e-15,0.0,0.0,1000.0000000001398,1000.000000000055,3.5092180377278224
3.50921803772782,0.0,28595.000000000084,2392.7999999999993,14.0,0.0,0.0,0.0,-2.8019700656686307e-15,0.0,0.0,1000.0000000001489,1000.0000000000612,3.509218037727823
3.5092180377278184,0.0,28595.000000000087,2392.7999999999993,15.0,0.0,0.0,0.0,-2.9074445125850366e-15,0.0,0.0,1000.0000000001585,1000.0000000000675,3.5092180377278215
3.509218037727819,0.0,28595.00000000009,2392.799999999999,16.0,0.0,0.0,0.0,-3.012282292819855e-15,0.0,0.0,1000.0000000001677,1000.000000000073,3.509218037727822
3.509218037727819,0.0,28595.000000000095,2392.7999999999993,17.0,0.0,0.0,0.0,-3.1185348879026473e-15,0.0,0.0,1000.0000000001771,1000.0000000000792,3.509218037727822
3.509218037727819,0.0,28595.00000000011,2392.7999999999993,18.0,0.0,0.0,0.0,-3.223938594076656e-15,0.0,0.0,1000.0000000001868,1000.0000000000854,3.509218037727822
3.5092180377278184,0.0,28595.000000000102,2392.7999999999993,19.0,0.0,0.0,0.0,-3.328634892826676e-15,0.0,0.0,1000.000000000196,1000.0000000000915,3.5092180377278215
3.509218037727818,0.0,28595.000000000116,2392.799999999999,20.000000000000004,0.0,0.0,0.0,-3.433048228607104e-15,0.0,0.0,1000.0000000002051,1000.0000000000977,3.5092180377278215
3.509218037727817,0.0,28595.00000000012,2392.799999999999,21.0,0.0,0.0,0.0,-3.539300823689899e-15,0.0,0.0,1000.0000000002146,1000.0000000001035,3.5092180377278206
3.5092180377278184,0.0,28595.000000000124,2392.799999999999,22.0,0.0,0.0,0.0,-3.643855640955122e-15,0.0,0.0,1000.0000000002238,1000.0000000001094,3.509218037727822
3.5092180377278175,0.0,28595.00000000013,2392.799999999999,23.0,0.0,0.0,0.0,-3.748410458220345e-15,0.0,0.0,1000.000000000233,1000.0000000001157,3.509218037727821
3.509218037727818,0.0,28595.00000000014,2392.799999999998,24.0,0.0,0.0,0.0,-3.8553704607271255e-15,0.0,0.0,1000.0000000002428,1000.0000000001216,3.509218037727822
3.509218037727817,0.0,28595.000000000146,2392.799999999998,25.0,0.0,0.0,0.0,-3.959925277992349e-15,0.0,0.0,1000.000000000252,1000.0000000001277,3.509218037727821
3.712881891248147,-25.0,28021.32956725986,2810.7305091291964,25.999999999999996,-0.1165157769724651,0.0478466197134302,0.028998483233218124,0.03119062857753703,5.290339510973841e-05,9.171194978251993e-05,964.4646230650867,1033.1162709197977,3.5171848451584373
